Series 1: ,,Series 2: ,
-0.981587477,-3.045766959,-0.981587477,-3.045766959
-0.925591339,0.839022596,-0.925591339,0.839022596
-0.875318944,0.632140312,-0.8641473,0.586166471
-0.825046549,0.425258028,-0.813874905,0.379284187
-0.774774154,0.218375744,-0.76360251,0.172401903
-0.718915937,-0.01149346,-0.713192194,4.080178379
-0.66850562,3.896283015,-0.657333977,3.850309174
-0.618233225,3.689400731,-0.607061582,3.64342689
-0.567822909,7.597177206,-0.556789187,3.436544606
-0.517688435,3.275636163,-0.506516792,3.229662322
-0.461692297,7.160425718,-0.456313358,0.965450659
-0.411419902,6.953543434,-0.406109923,-1.298761005
-0.361147507,6.74666115,-0.355768568,0.551686091
-0.299703469,6.493805025,-0.294324529,0.298829966
-0.249293152,10.4015815,-0.227225709,2.0803163
-0.187711192,14.26338413,-0.16578167,1.827460175
-0.142955658,16.13681815,-0.104337632,1.57460405
-0.081373698,19.99862078,-0.048479415,1.344734846
-0.019860699,21.80309404,0.001930901,5.252511321
0.030618578,27.76819989,0.052203296,5.045629037
0.086752638,35.76764821,0.102475691,4.838746753
0.137162954,39.67542468,0.152748086,4.631864469
0.198675953,41.47989794,0.208744225,8.516654024
0.24908627,45.38767441,0.270188263,8.263797899
0.299634508,53.41010965,0.320598579,12.17157437
0.355768568,61.40955796,0.371008896,16.07935085
0.406247845,67.37466382,0.426867113,15.84948164
0.456796083,75.39709905,0.477139508,15.64259936
0.518515964,83.37356044,0.527480863,17.49304646
0.568995242,89.3386663,0.577753258,17.28616417
0.625129301,97.33811461,0.628163575,21.19394065
0.675677539,105.3605498,0.684159713,25.0787302
0.726294738,115.4403145,0.73457003,28.98650668
0.776980898,127.5774085,0.807461554,36.91699423
0.83332184,141.7488449,0.857940832,42.88210009
0.884007999,153.8859389,0.90848907,50.90453532
0.934625198,163.9657035,0.964485208,54.78932487
0.985311358,176.1027975,1.014895524,58.69710135
1.058409765,190.2052732,1.065512723,68.77686596
1.109371767,210.5716847,1.116060961,76.7993012
1.165850631,228.8577799,1.16667816,86.87906581
1.216605751,243.0522033,1.222950141,98.99317288
1.267498793,261.3612854,1.273498379,107.0156081
1.318322874,277.6130382,1.324115578,117.0953727
1.374801738,295.8991334,1.374801738,129.2324667
1.42569478,314.2082155,1.431280601,147.5185619
1.476656782,334.574627,1.482173643,165.8276441
1.527549824,352.8837092,1.532997724,182.0793968
1.578580788,375.3074501,1.583752845,196.2738202
1.635197573,397.708204,1.64036963,218.6745742
1.686366457,424.2466037,1.691400593,241.0983151
1.737673264,454.8996621,1.742431556,263.522056
1.788842149,481.4380617,1.793876284,298.2897731
1.845803738,514.1254626,1.850493069,320.6905271
1.920626164,579.6611728,1.958968347,390.2029745
1.983863182,632.8988805,2.067719468,467.9447394
2.05889249,704.6065789,2.159851045,549.8701239
2.122060548,755.7869572,2.258327012,654.4031446
2.21467485,852.1136473,2.358044273,795.9680942
2.418178057,1089.959313,2.459002827,974.5649725
2.493345287,1165.78167,2.499000069,1167.816013
