Series 1: ,,Series 2: ,
-20.3520048,63.07255201,-21.64147432,126.2418529
-18.74265111,77.29980231,-18.85778232,161.511347
-15.96392555,98.94704932,-15.05416327,194.295039
-12.60006256,125.5426808,-11.39615133,227.6992141
-8.2137893,156.4636337,-7.302221033,256.7651678
-5.289908121,176.2520116,-2.330133094,294.4920843
-2.2226773,189.2279759,1.615932611,317.9865906
0.697140425,197.8708789,8.916831409,343.3090064
4.344542233,202.1729806,14.90071949,356.259171
9.448015196,200.270252,20.29811565,360.5457929
13.09022481,190.3309135,24.67332729,361.1262864
15.12872443,181.644151,,
17.74942676,169.8562634,,
20.07823762,157.4517626,,
22.2587324,138.2374283,,
25.16861723,119.6358371,,
