Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,,Series 5: ,,Series 6: ,,Series 7: ,,Series 8: ,
1.164195973,0.026361393,1.164252482,0.042890241,1.232665901,0.053815291,1.369473902,0.070155776,1.629094539,0.009192111,2.367627946,0.030213415,3.776394357,0.094388668,1.779502345,0.003475296
1.328448454,0.070212285,1.328448454,0.070212285,1.396824201,0.070118104,1.54721317,0.058891672,2.32664017,0.041289156,3.024185801,0.073386201,4.419277063,0.13758029,2.58644917,0.03542165
1.506263068,0.080986645,1.506263068,0.080986645,1.574676487,0.091911695,1.766015559,0.058590292,2.504492456,0.063082748,3.44820961,0.100350355,5.363144908,0.218924824,3.55747895,0.061632353
1.67045904,0.108308689,1.67045904,0.108308689,1.725121965,0.097214112,1.943811336,0.063855036,2.682288233,0.068347492,3.817589331,0.143918703,6.498634369,0.349592194,4.37802558,0.071521407
2.039876434,0.162896269,1.834560832,0.108082654,1.971349997,0.118913523,2.066944188,0.080214357,2.846484206,0.095669536,4.00909793,0.160183842,7.169074573,0.453351918,5.198685227,0.114468157
2.204110079,0.201237545,2.09448285,0.135272844,2.176514909,0.12965021,2.340522519,0.101876095,3.024355328,0.122972744,4.214319351,0.187449377,7.798545838,0.573696999,6.087739456,0.162830342
2.395694023,0.239541148,2.272353972,0.162576052,2.409143137,0.17340692,2.586788224,0.134594737,3.174838479,0.139294392,4.378552996,0.225790653,8.277458607,0.655681968,6.93586242,0.238797114
2.587221458,0.261315903,2.436493436,0.173369248,2.600632899,0.184162444,2.764621673,0.150878713,3.339015615,0.161106821,4.54269246,0.23658385,8.660683004,0.748818023,7.647196218,0.303933018
2.724085969,0.294185236,2.600727081,0.211710524,2.778598203,0.239013732,2.928817646,0.178200757,3.530486541,0.166352728,4.74791388,0.263849385,8.934317844,0.787008608,8.372318183,0.402107781
2.9705212,0.376490422,2.778598203,0.239013732,2.942794176,0.266335776,3.051969335,0.200069694,3.680988529,0.188183993,4.912109853,0.291171429,8.60566219,0.655229897,8.892275236,0.489545857
3.148392322,0.40379363,2.942794176,0.266335776,3.106990149,0.29365782,3.175064514,0.205409784,3.872497127,0.204449133,5.089980975,0.318474637,8.26351975,0.578566181,8.933206502,0.461941268
3.408446194,0.469551131,3.106990149,0.29365782,3.271223794,0.331999096,3.366629622,0.238203771,4.009342802,0.231808849,5.254176948,0.345796681,7.688749082,0.458145755,8.508937821,0.363352107
3.572736348,0.524421255,3.271223794,0.331999096,3.449094916,0.359302304,3.558213566,0.276507374,4.146207312,0.264678182,5.418410594,0.384137957,6.744636365,0.305176214,7.770140707,0.26519618
3.77805195,0.57923487,3.449094916,0.359302304,3.613347398,0.403153196,3.790822958,0.314754469,4.324116107,0.303000622,5.582606566,0.411460001,5.787036863,0.207321667,7.086176044,0.205532219
3.942323268,0.628595378,3.613347398,0.403153196,3.777581043,0.441494472,3.872911526,0.325660683,4.543069186,0.346776168,5.760534197,0.455292057,4.815856392,0.137034037,6.41588653,0.145849423
4.120288572,0.683446665,3.777581043,0.441494472,3.941814689,0.479835748,4.050857993,0.375002355,4.748290606,0.374041704,5.924767843,0.493633333,4.255024581,0.093729398,5.704628077,0.102751983
4.284578726,0.738316789,3.941814689,0.479835748,4.11974232,0.523667803,4.351937313,0.440703347,4.912524252,0.41238298,6.116351787,0.531936936,3.666880145,0.061481663,5.048145567,0.081617661
4.448868881,0.793186913,4.11974232,0.523667803,4.284032474,0.578537927,4.516170958,0.479044623,5.090395374,0.439686187,6.294279418,0.575768992,3.092429694,0.034724708,4.377969071,0.05499256
4.613196707,0.859076268,4.284032474,0.578537927,4.448266119,0.616879203,4.68042344,0.522895515,5.254629019,0.478027463,6.458513063,0.614110268,2.654768408,0.018798621,3.694155098,0.039405527
4.791199684,0.924946787,4.448266119,0.616879203,4.612556273,0.671749327,4.913127013,0.588690689,5.418881501,0.521878355,6.663866338,0.679943114,3.174574771,0.062159769,3.174461753,0.029102074
4.95552751,0.990836143,4.612556273,0.671749327,4.790465068,0.710071766,5.091035808,0.627013129,5.583115146,0.560219631,6.828156492,0.734813238,3.762719207,0.094407504,2.627399273,0.013326678
5.119874174,1.062235115,4.790465068,0.710071766,4.954755222,0.76494189,5.214300514,0.681939762,5.761023941,0.598542071,6.992446646,0.789683362,,,1.916253838,0.003286933
5.284202,1.12812447,4.954755222,0.76494189,5.119083049,0.830831246,5.392209309,0.720262201,5.925276423,0.642392963,7.156774473,0.855572718,,,,
5.462204977,1.19399499,5.119083049,0.830831246,5.324436324,0.896664092,5.556499463,0.775132325,6.089566577,0.697263087,7.334833958,0.937972085,,,,
5.626589312,1.276413193,5.324436324,0.896664092,5.488782987,0.968063064,5.816647516,0.868437906,6.253800222,0.735604362,7.499105276,0.987332592,,,,
5.791011321,1.369850628,5.488782987,0.968063064,5.653110814,1.03395242,6.035638268,0.923232685,6.459153497,0.801437209,7.663489612,1.069750796,,,,
5.955395656,1.452268832,5.653110814,1.03395242,5.817438641,1.099841775,6.117877526,0.978215826,6.623443651,0.856307333,7.868899395,1.15211249,,,,
