Series 1: ,,Series 2: ,
0.045475522,0.003514563,0.031818786,0.003491098
0.081870019,0.005295309,0.072765528,0.005279666
0.113735735,0.005350061,0.10918349,0.00534224
0.150153697,0.005412635,0.141049206,0.005396992
0.182019414,0.005467387,0.182019414,0.005467387
0.21388513,0.005522139,0.222989621,0.005537783
0.250303092,0.005584713,0.254855337,0.005592535
0.300330859,0.009107098,0.291273299,0.005655109
0.359486582,0.010926953,0.405009034,0.01100517
0.436804355,0.01621444,0.441426996,0.011067744
0.468670072,0.016269193,0.491525159,0.00943561
0.505088034,0.016331766,0.523390875,0.009490362
0.54601131,0.019838507,0.582593528,0.007873872
0.591392971,0.030225761,0.618988025,0.009654619
0.623211758,0.033716859,0.655382522,0.011435365
0.659582789,0.037215778,0.687224773,0.01320829
0.691448506,0.03727053,0.709962534,0.014965571
0.723290757,0.039043455,0.73725254,0.016730674
0.764214034,0.042550196,0.773623572,0.020229594
0.80060853,0.044330942,0.805395427,0.027157037
0.836979562,0.047829862,0.837261144,0.027211789
0.891512644,0.054796413,0.869150326,0.025548368
0.932412455,0.060021327,0.905568288,0.025610942
0.964207776,0.065230598,0.946444634,0.032554029
1.000555343,0.07044769,0.978286885,0.034326953
1.032350664,0.07565696,1.014657917,0.037825873
1.073203545,0.084318219,1.046500168,0.039598798
1.104975401,0.091245662,1.078318954,0.043089895
1.141299502,0.098180927,1.114666521,0.048306987
1.173047892,0.106826543,1.146508772,0.050079912
1.204749353,0.118908504,1.182856338,0.055297004
1.241026523,0.129280114,1.214651659,0.060506274
1.272798379,0.136207557,1.24644698,0.065715545
1.309099015,0.144860995,1.282747616,0.074368982
1.340823941,0.155224783,1.323577032,0.084748414
1.372548866,0.165588572,1.355348888,0.091675857
1.408802572,0.177678355,1.387073814,0.102039646
1.440504032,0.189760316,1.42346831,0.103820392
1.481216122,0.208730612,1.459745481,0.114192003
1.512941048,0.2190944,1.496046117,0.12284544
1.549194753,0.231184183,1.527771042,0.133209229
1.580896214,0.243266145,1.564024748,0.145299012
1.612574209,0.257066279,1.595726208,0.157380973
1.653262833,0.277754747,1.627451134,0.167744761
1.689586935,0.284690012,1.663728304,0.178116372
1.721288395,0.296771973,1.704487325,0.193650322
1.752942925,0.31229028,1.73621225,0.20401411
1.7891497,0.327816408,1.767913711,0.216096072
1.820780765,0.345052888,1.804143951,0.229904027
1.852364899,0.365725713,1.835892342,0.238549643
1.888571674,0.381251841,1.867617267,0.248913432
1.920202739,0.398488321,1.903777112,0.267875906
1.956339119,0.419168968,1.935361246,0.288548731
1.992334707,0.450158651,1.966968846,0.307503383
2.028541483,0.465684779,2.003175621,0.323029511
2.060172547,0.482921259,2.034783221,0.341984164
2.091686286,0.508748602,2.070943066,0.360946638
2.127822666,0.529429249,2.102550665,0.37990129
2.159383335,0.551820246,2.134252126,0.391983251
2.199978099,0.579381406,2.17484689,0.41954441
2.231538768,0.601772403,2.210889409,0.447097748
2.267557822,0.631043914,2.255848697,0.488412111
2.299095026,0.655153084,2.287362435,0.514239454
2.33516101,0.680988249,2.323498815,0.534920101
2.366721679,0.703379247,2.355036019,0.559029272
2.411540176,0.755002646,2.386502828,0.58829296
2.44760616,0.780837811,2.43596743,0.63305149
2.479072969,0.8101015,2.467457704,0.660597006
2.532902095,0.868613234,2.498971443,0.68642435
2.564345439,0.899595095,2.561693873,0.760415282
2.600411423,0.92543026,2.61104115,0.813764676
2.631972092,0.947821258,2.660318031,0.872268588
2.663556226,0.968494083,2.691761375,0.903250449
2.712833108,1.026997995,2.781327973,1.011651766
2.744276451,1.057979856,2.807796698,1.073552915
2.775766725,1.085525372,2.820726013,1.126839735
2.825231328,1.130283903,,
