Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
-0.20832753,-0.494418155,0.09592756,-0.41757921,0.633945518,0.011289656,0.028221113,0.004812124
1.06586178,-1.166255058,0.47212832,-0.539131056,1.466407791,-0.001403788,76.6369154,0.008218037
1.895659399,-1.319748844,0.923666128,-0.679873259,2.299112307,-0.001297202,80.11804419,-0.048936379
3.032497883,-1.249203329,1.376172902,-0.769415338,3.056116411,-0.001200306,81.93412732,-0.08710392
3.865686881,-1.223496681,2.05626539,-0.833328287,3.888820927,-0.00109372,83.82566862,-0.138061803
4.699481482,-1.165789955,3.270015491,-0.698772927,4.721525442,-0.000987133,85.71745215,-0.176219655
5.534002808,-1.069683136,5.241859783,-0.506520531,5.703692848,-0.103261416,88.21629242,-0.137499803
6.369371977,-0.928776209,6.076138867,-0.423213743,6.535428398,-0.154354954,89.88291266,-0.073286476
7.204498906,-0.800669313,7.060728686,-0.397487715,7.367769551,-0.173448414,91.01963002,-0.009140976
8.039625834,-0.672562417,8.196234843,-0.397342371,8.200231825,-0.186141859,92.38429646,0.099833701
8.8743894,-0.563655567,9.029544962,-0.365235707,9.183247075,-0.243616033,94.20243864,0.170466424
9.708668484,-0.480348779,9.786791308,-0.352338779,10.01546711,-0.269109509,95.79214726,0.170669906
10.84647593,-0.35860314,10.69568072,-0.326622441,10.9993302,-0.281783574,97.30518651,0.119663575
11.52923308,-0.281715747,11.6806339,-0.281696367,11.37759001,-0.294535157,98.59112452,0.068628175
12.36242207,-0.256009099,12.51382289,-0.255989719,12.36157423,-0.300809207,99.72566171,0.017573396
13.49962392,-0.166263537,13.72599843,-0.204634561,13.80060875,-0.262225011,,
15.31764498,-0.10203083,14.48336589,-0.185337618,14.70949816,-0.236508673,,
16.83189543,-0.089037006,16.83189543,-0.089037006,15.61887205,-0.185192273,,
17.81636413,-0.069710994,17.66496331,-0.069730373,16.67952564,-0.140256509,,
18.64955313,-0.044004346,18.4981523,-0.044023725,17.58865729,-0.10174014,,
19.63365846,-0.04387838,19.48274212,-0.018297698,18.11940801,-0.056872204,,
20.92068656,-0.037313641,20.31568888,-0.00539108,19.10399783,-0.031146177,,
23.9488241,-0.030526039,21.45180064,0.026754342,19.93730795,0.000960487,,
24.55442738,-0.030448522,24.25356367,0.071912968,21.07293523,0.007505847,,
27.65802309,-0.036451262,25.38931207,0.084858343,22.66300721,0.026909376,,
29.32306876,-0.055438136,26.37365965,0.09778434,24.63121788,0.027161307,,
30.4584538,-0.061692807,27.20660641,0.110690957,25.76672404,0.027306652,,
31.74511853,-0.074328113,28.26641215,0.110826612,26.59930743,0.021013223,,
32.57782305,-0.074221527,29.02341626,0.110923509,27.43201195,0.021119809,,
33.25912674,-0.07413432,30.08310088,0.104659148,28.26471646,0.021226395,,
34.01600973,-0.080437439,31.06684286,0.085585067,29.09717874,0.00853295,,
34.77313495,-0.073940527,32.05094819,0.085711033,29.85430396,0.015029862,,
