Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
0.003773938,0.021358868,0.068584513,0.00382348,0.003773938,0.021358868,0.150899251,0.016959201
0.012508326,0.025342215,0.082318901,0.015806828,0.051188593,0.042601166,0.167112823,0.019587011
0.039966694,0.042631141,0.091053289,0.019790175,0.058676103,0.046587843,0.175845129,0.022234804
0.056194838,0.054607827,0.098536636,0.021105745,0.067412573,0.051906744,0.184579517,0.026218152
0.071178185,0.067923397,0.107271024,0.025089092,0.076144879,0.054554538,0.194560783,0.030198168
0.078667777,0.073245629,0.118501249,0.030401332,0.08363239,0.058541216,0.204539967,0.032842631
0.087404246,0.07856453,0.127233555,0.033049126,0.092368859,0.063860117,0.212027477,0.036829309
0.097391757,0.086551207,0.135967943,0.037032473,0.101103247,0.067843464,0.220761865,0.040812656
0.106128226,0.091870108,0.147198168,0.042344713,0.111086595,0.073159034,0.229494172,0.04346045
0.113621982,0.099863447,0.155932556,0.04632806,0.123565779,0.079803497,0.236981682,0.047447127
0.122358451,0.105182348,0.163417985,0.048979184,0.136044963,0.08644796,0.24571607,0.051430475
0.131097002,0.111836803,0.173401332,0.054294754,0.143532473,0.090434638,0.25445254,0.056749376
0.142333472,0.121155704,0.184631557,0.059606994,0.152268943,0.095753539,0.261937968,0.0594005
0.153572023,0.131810158,0.194614904,0.064922565,0.161003331,0.099736886,0.271919234,0.063380516
0.163557452,0.138461282,0.202104496,0.070244796,0.172235637,0.106384679,0.280653622,0.067363863
0.177289759,0.149109076,0.214585762,0.078224813,0.180972107,0.11170358,0.290636969,0.072679434
0.210997086,0.175730225,0.222075354,0.083547044,0.189706495,0.115686928,0.301867194,0.077991674
0.219737719,0.183720233,0.232058701,0.088862614,0.199691923,0.122338052,0.311850541,0.083307244
0.227229392,0.190378018,0.240795171,0.094181515,0.207181515,0.127660283,0.321829725,0.085951707
0.235967943,0.197032473,0.24953164,0.099500416,0.217164863,0.132975853,0.330566195,0.091270608
0.244708576,0.205022481,0.257021232,0.104822648,0.250863863,0.154254788,0.339300583,0.095253955
0.25220025,0.211680266,0.26700458,0.110138218,0.259600333,0.159573689,0.346788093,0.099240633
0.260938801,0.218334721,0.275741049,0.115457119,0.267089925,0.16489592,0.355524563,0.104559534
