Series 1: ,,Series 2: ,,Series 3: ,,Series 4: ,
-0.091792665,0.016908717,0.051065544,0.01703055,-1.306176947,0.00563914,-1.265360316,0.005673949
0.051065544,0.01703055,0.142902964,0.017108872,-1.193841701,0.01596886,-1.173433386,0.015986265
0.183719595,0.017143681,0.255148699,0.017204598,-1.081595966,0.016064587,-1.081595966,0.016064587
0.346986118,0.017282919,0.387802749,0.017317729,-0.948941915,0.016177717,-0.948941915,0.016177717
1.898062851,0.023722678,0.489844327,0.017404752,-0.795879549,0.016308253,-0.846900338,0.016264741
3.010450311,0.040022228,1.969491955,0.023783594,-0.622408867,0.016456193,-0.755062918,0.016343063
3.939341951,0.076633125,2.755256857,0.029570674,-0.469346501,0.016586729,-0.642817183,0.016438789
4.419295406,0.117978115,3.734900756,0.0355231,-0.336692451,0.01669986,-0.540775605,0.016525812
4.756166877,0.133616285,4.184062717,0.056373993,-0.224446715,0.016795586,-0.448938186,0.016604134
4.848093807,0.143928601,4.306557365,0.061595419,-0.122405138,0.01688261,-0.316284135,0.016717265
4.960429052,0.154258321,4.408598942,0.061682443,0.010248913,0.016995741,-0.2040384,0.016812991
5.06256014,0.16457934,4.561706064,0.066929976,0.122494648,0.017091467,-0.101996822,0.016900015
5.174895385,0.17490906,4.704609027,0.072168806,0.234740383,0.017187193,0.010248913,0.016995741
5.287320141,0.195472775,4.867965061,0.082542039,0.346986118,0.017282919,0.122494648,0.017091467
5.389451228,0.205793793,4.980345062,0.097988757,0.469436011,0.017387348,0.29596533,0.017239407
5.481333403,0.210989112,5.133496938,0.108353287,1.622729612,0.043955702,0.408211065,0.017335133
5.573260333,0.221301428,5.266240499,0.118700412,1.786085646,0.054328935,0.561273431,0.017465669
5.685685088,0.241865143,5.388779902,0.129038835,1.908535539,0.054433363,2.265636305,0.049620949
5.787816176,0.252186161,5.480662077,0.134234154,2.010621872,0.059637384,2.990221015,0.060472813
5.900240932,0.272749876,5.572589007,0.144546469,2.122957117,0.069967105,3.296435258,0.070967878
6.094343704,0.298500208,5.705332568,0.154893595,2.255655923,0.075197233,3.510856836,0.08650162
6.20676846,0.319063923,5.858573954,0.175492119,2.398558886,0.080436064,3.653804555,0.096857448
6.319193215,0.339627638,5.970909199,0.18582184,2.551666008,0.085683597,3.78650336,0.102087576
6.452071041,0.365325755,6.093448603,0.196160263,2.663956498,0.09089632,3.898883361,0.117534294
6.544087481,0.385872065,6.256938902,0.221884487,3.307176477,0.132380547,4.021333254,0.117638722
6.646308079,0.406427078,6.389771973,0.242465607,3.460417863,0.152979072,4.123509096,0.133076738
6.738369274,0.432090385,6.532809202,0.263055429,3.725904985,0.173673323,4.317567114,0.153710072
6.85088354,0.462888095,6.665597518,0.278519552,3.879146371,0.194271847,4.521918799,0.184586103
6.953104138,0.483443108,6.798520099,0.309334666,4.032343003,0.209753375,4.644458202,0.194924526
